OBJECTID,ReportDate,Statewide
577,2021/10/21 14:00:00+00,13.98
578,2021/10/22 14:00:00+00,13.5
579,2021/10/23 14:00:00+00,13.44
580,2021/10/24 14:00:00+00,13.07
581,2021/10/25 14:00:00+00,12.6
582,2021/10/26 14:00:00+00,12.72
583,2021/10/27 14:00:00+00,12.76
584,2021/10/28 14:00:00+00,12.43
585,2021/10/29 14:00:00+00,12.54
586,2021/10/30 14:00:00+00,12.45
587,2021/10/31 14:00:00+00,12.26
588,2021/11/01 14:00:00+00,12.11
589,2021/11/02 14:00:00+00,11.83
590,2021/11/03 14:00:00+00,11.75
591,2021/11/04 14:00:00+00,11.45
592,2021/11/05 14:00:00+00,11.34
593,2021/11/06 14:00:00+00,11.16
594,2021/11/07 15:00:00+00,11.37
595,2021/11/08 15:00:00+00,11.62
596,2021/11/09 15:00:00+00,11.54
597,2021/11/10 15:00:00+00,11.89
598,2021/11/11 15:00:00+00,12.33
599,2021/11/12 15:00:00+00,12.43
600,2021/11/13 15:00:00+00,12.88
601,2021/11/14 15:00:00+00,13.1
602,2021/11/15 15:00:00+00,13.48
603,2021/11/16 15:00:00+00,14.08
604,2021/11/17 15:00:00+00,13.96
605,2021/11/18 15:00:00+00,14.18
606,2021/11/19 15:00:00+00,14.59
607,2021/11/20 15:00:00+00,14.67
608,2021/11/21 15:00:00+00,15.11
609,2021/11/22 15:00:00+00,15.38
610,2021/11/23 15:00:00+00,15.47
611,2021/11/24 15:00:00+00,15.74
612,2021/11/25 15:00:00+00,15.82
613,2021/11/26 15:00:00+00,15.62
614,2021/11/27 15:00:00+00,14.85
615,2021/11/28 15:00:00+00,14.46
616,2021/11/29 15:00:00+00,14.29
617,2021/11/30 15:00:00+00,15.48
618,2021/12/01 15:00:00+00,16.04
619,2021/12/02 15:00:00+00,17.73
620,2021/12/03 15:00:00+00,19.39
621,2021/12/04 15:00:00+00,22.16
622,2021/12/05 15:00:00+00,22.54
623,2021/12/06 15:00:00+00,23.05
624,2021/12/07 15:00:00+00,22.92
625,2021/12/08 15:00:00+00,23.08
626,2021/12/09 15:00:00+00,22.35
627,2021/12/10 15:00:00+00,22.46
628,2021/12/11 15:00:00+00,20.98
629,2021/12/12 15:00:00+00,21.84
630,2021/12/13 15:00:00+00,22.95
631,2021/12/14 15:00:00+00,24.19
632,2021/12/15 15:00:00+00,26.52
633,2021/12/16 15:00:00+00,30.36
634,2021/12/17 15:00:00+00,34.58
635,2021/12/18 15:00:00+00,39.57
636,2021/12/19 15:00:00+00,42.2
637,2021/12/20 15:00:00+00,41.57
638,2021/12/21 15:00:00+00,52.73
639,2021/12/22 15:00:00+00,58.46
640,2021/12/23 15:00:00+00,68.8
641,2021/12/24 15:00:00+00,85.57
642,2021/12/25 15:00:00+00,101.11
643,2021/12/26 15:00:00+00,109.91
644,2021/12/27 15:00:00+00,120.78
645,2021/12/28 15:00:00+00,122.77
646,2021/12/29 15:00:00+00,139.99
647,2021/12/30 15:00:00+00,158.73
648,2021/12/31 15:00:00+00,164.58
649,2022/01/01 15:00:00+00,176.35
650,2022/01/02 15:00:00+00,188.37
651,2022/01/03 15:00:00+00,209.96
652,2022/01/04 15:00:00+00,228.78
653,2022/01/05 15:00:00+00,227.14
654,2022/01/06 15:00:00+00,223.05
655,2022/01/07 15:00:00+00,222.3
656,2022/01/08 15:00:00+00,219.6
657,2022/01/09 15:00:00+00,235.17
658,2022/01/10 15:00:00+00,223.91
659,2022/01/11 15:00:00+00,212.25
660,2022/01/12 15:00:00+00,213.36
661,2022/01/13 15:00:00+00,207.48
